A	[A]	ax
SHOT	[SHOT]	sh aa t
SHOTS	[SHOTS]	sh aa t s
SHOULD	[SHOULD]	sh uh d
SHOULD'VE	[SHOULD'VE]	sh uh dx ax v
SHOULDA	[SHOULDA]	sh uh d ax
SHOULDER	[SHOULDER]	sh ow l d er
SHOULDERS	[SHOULDERS]	sh ow l d er z
SHOULDN'T	[SHOULDN'T]	sh uh d ax n t
SHOUT	[SHOUT]	sh aw t
SHOUTED	[SHOUTED]	sh aw dx ax d
SHOUTING	[SHOUTING]	sh aw dx ix ng
SHOUTS	[SHOUTS]	sh aw t s
SHOVE	[SHOVE]	sh ah v
SHOVEL	[SHOVEL]	sh ah v ax l
SHOVELED	[SHOVELED]	sh ah v ax l d
SHOVELING	[SHOVELING]	sh ah v l ix ng
SHOVELS	[SHOVELS]	sh ah v ax l z
SHOVING	[SHOVING]	sh ah v ix ng
SHOW	[SHOW]	sh ow
SHOWED	[SHOWED]	sh ow d
SHOWER	[SHOWER]	sh aw er
SHOWERED	[SHOWERED]	sh aw er d
SHOWERS	[SHOWERS]	sh aw er z
SHOWING	[SHOWING]	sh ow ix ng
SHOWN	[SHOWN]	sh ow n
SHREDDED	[SHREDDED]	sh r eh dx ax d
SHREDS	[SHREDS]	sh r eh d z
SHREEK	[SHREEK]	sh r iy k
SHRIEK	[SHRIEK]	sh r iy k
SHRILL	[SHRILL]	sh r ih l
SHRIMP	[SHRIMP]	sh r ih m p
SHUCKS	[SHUCKS]	sh ah k s
SHUFFLEBOARD	[SHUFFLEBOARD]	sh ah f ax l b ao r d
SHUSH	[SHUSH]	sh ah sh
SHUSHU	[SHUSHU]	sh ah sh uw
SHUT	[SHUT]	sh ah t
SHUTTLE	[SHUTTLE]	sh ah dx ax l
SHY	[SHY]	sh ay
SI	[SI]	s iy
SIBLINGS	[SIBLINGS]	s ih b l ix ng z
SICK	[SICK]	s ih k
SICKLE	[SICKLE]	s ih k ax l
SICK_A	[SICK_A]	s ih k s ih k
SIDE	[SIDE]	s ay d
SIDES	[SIDES]	s ay d z
SIDEWALK	[SIDEWALK]	s ay d w ao k
SIDEWAYS	[SIDEWAYS]	s ay d w ey z
SIEVE	[SIEVE]	s ih v
SIGHED	[SIGHED]	s ay d
SIGHT	[SIGHT]	s ay t
SIGN	[SIGN]	s ay n
SIGNAL	[SIGNAL]	s ih g n ax l
SIGNS	[SIGNS]	s ay n z
SILENCE	[SILENCE]	s ay l ax n s
SILENT	[SILENT]	s ay l ax n t
SILICONE	[SILICONE]	s ih l ax k ow n
SILKY	[SILKY]	s ih l k iy
SILLIEST	[SILLIEST]	s ih l iy ax s t
SILLY	[SILLY]	s ih l iy
SILLYWILLY	[SILLYWILLY]	s ih l iy w ih l iy
SILVER	[SILVER]	s ih l v er
SILVERY	[SILVERY]	s ih l v er iy
SIMILAR	[SIMILAR]	s ih m ax l er
SIMIN	[SIMIN]	s ih m ix n
SIMON	[SIMON]	s ay m ax n
SIMPLE	[SIMPLE]	s ih m p ax l
SIMPSONS	[SIMPSONS]	s ih m p s ax n z
SINCE	[SINCE]	s ih n s
SING	[SING]	s ih ng
SINGER	[SINGER]	s ih ng er
SINGING	[SINGING]	s ih ng ix ng
SINGLE	[SINGLE]	s ih ng g ax l
SINGS	[SINGS]	s ih ng z
SINGY	[SINGY]	s ih ng iy
SINK	[SINK]	s ih ng k
SINKING	[SINKING]	s ih ng k ix ng
SIP	[SIP]	s ih p
SIPPED	[SIPPED]	s ih p t
SIPPY	[SIPPY]	s ih p iy
SIPPYCUP	[SIPPYCUP]	s ih p iy k ah p
SIR	[SIR]	s er
SIREN	[SIREN]	s ay r ax n
SIRENS	[SIRENS]	s ay r ax n z
SISTER	[SISTER]	s ih s t er
SISTER'S	[SISTER'S]	s ih s t er z
SISTERS	[SISTERS]	s ih s t er z
SIT	[SIT]	s ih t
SITE	[SITE]	s ay t
SITNSPIN	[SITNSPIN]	s ih t ax n s p ih n
SITS	[SITS]	s ih t s
SITTERS	[SITTERS]	s ih dx er z
SITTING	[SITTING]	s ih dx ix ng
SITTING_A	[SITTING_A]	s ih dx ix ng
SITUATED	[SITUATED]	s ih ch uw ey dx ix d
SITUATIONED	[SITUATIONED]	s ih ch uw ey sh ax n d
SIV	[SIV]	s ih v
SIVAH	[SIVAH]	s ih v aa
SIX	[SIX]	s ih k s
SIXTEEN	[SIXTEEN]	s ix k s t iy n
SIXTEENTH	[SIXTEENTH]	s ix k s t iy n th
SIXTH	[SIXTH]	s ih k s th
SIXTHIRTY	[SIXTHIRTY]	s ih k s th er dx iy
SIXTY	[SIXTY]	s ih k s t iy
SIZE	[SIZE]	s ay z
SIZES	[SIZES]	s ay z ax z
SKAT	[SKAT]	s k aa t
SKATE	[SKATE]	s k ey t
SKATEBOARD	[SKATEBOARD]	s k ey t b ao r d
SKATED	[SKATED]	s k ey dx ix d
SKATES	[SKATES]	s k ey t s
SKATING	[SKATING]	s k ey dx ix ng
SKELETON	[SKELETON]	s k eh l ax t ax n
SKEWER	[SKEWER]	s k y uw er
SKI	[SKI]	s k iy
SKIDDING	[SKIDDING]	s k ih dx ix ng
SKIED	[SKIED]	s k iy d
SKIES	[SKIES]	s k ay z
SKIING	[SKIING]	s k iy ix ng
SKIM	[SKIM]	s k ih m
SKIN	[SKIN]	s k ih n
SKINNED	[SKINNED]	s k ih n d
SKINNIER	[SKINNIER]	s k ih n iy er
SKINNY	[SKINNY]	s k ih n iy
SKIP	[SKIP]	s k ih p
SKIPIDY	[SKIPIDY]	s k ih p ih dx iy
SKIPPED	[SKIPPED]	s k ih p t
SKIPPING	[SKIPPING]	s k ih p ix ng
SKIPPITY	[SKIPPITY]	s k ih p p ih dx iy
SKIRT	[SKIRT]	s k er t
SKIS	[SKIS]	s k iy z
SKIT	[SKIT]	s k ih t
SKITTER	[SKITTER]	s k ih dx er
SKOODLEDEE	[SKOODLEDEE]	s k uw dx ax l d iy
SKOODLEDOO	[SKOODLEDOO]	s k uw dx ax l d uw
SKOODLEDOOP	[SKOODLEDOOP]	s k uw d ax l d uw p
SKUNK	[SKUNK]	s k ah ng k
SKUNKS	[SKUNKS]	s k ah ng k s
SKY	[SKY]	s k ay
SKYFIRE	[SKYFIRE]	s k ay f ay er
SKYSCRAPERS	[SKYSCRAPERS]	s k ay s k r ey p er z
SLACKING	[SLACKING]	s l ae k ih ng
SLANG	[SLANG]	s l ae ng
SLED	[SLED]	s l eh d
SLEDDING	[SLEDDING]	s l eh dx ix ng
SLEEP	[SLEEP]	s l iy p
SLEEPERS	[SLEEPERS]	s l iy p er z
SLEEPING	[SLEEPING]	s l iy p ix ng
SLEEPS	[SLEEPS]	s l iy p s
SLEEPY	[SLEEPY]	s l iy p iy
SLEEPYHEAD	[SLEEPYHEAD]	s l iy p iy hh eh d
SLEEPYPUSS	[SLEEPYPUSS]	s l iy p iy p uh s
SLEEVE	[SLEEVE]	s l iy v
SLEEVES	[SLEEVES]	s l iy v z
SLEIGH	[SLEIGH]	s l ey
SLEPT	[SLEPT]	s l eh p t
SLICE	[SLICE]	s l ay s
SLICES	[SLICES]	s l ay s ax z
SLICK	[SLICK]	s l ih k
SLID	[SLID]	s l ih d
SLIDE	[SLIDE]	s l ay d
SLIDED	[SLIDED]	s l ih d eh d
SLIDES	[SLIDES]	s l ay d z
SLIDING	[SLIDING]	s l ay dx ix ng
SLIDY	[SLIDY]	s l ix dx iy
SLIGHTLY	[SLIGHTLY]	s l ay t l iy
SLIMING	[SLIMING]	s l ih m ih ng
SLIMY	[SLIMY]	s l ay m iy
SLING	[SLING]	s l ih ng
SLINGER	[SLINGER]	s l ih ng er
SLINGER'S	[SLINGER'S]	s l ih ng er z
SLINGS	[SLINGS]	s l ih ng z
SLIP	[SLIP]	s l ih p
SLIPPED	[SLIPPED]	s l ih p t
SLIPPER	[SLIPPER]	s l ih p er
SLIPPERS	[SLIPPERS]	s l ih p er z
SLIPPERY	[SLIPPERY]	s l ih p er iy
SLIPPING	[SLIPPING]	s l ih p ix ng
SLIPS	[SLIPS]	s l ih p s
SLOT	[SLOT]	s l aa t
SLOTS	[SLOTS]	s l aa t s
SLOW	[SLOW]	s l ow
SLOWER	[SLOWER]	s l ow er
SLOWLY	[SLOWLY]	s l ow l iy
SLUG	[SLUG]	s l ah g
SLUGS	[SLUGS]	s l ah g z
SLURP	[SLURP]	s l er p
SLURPING	[SLURPING]	s l er p ih ng
SLUSH	[SLUSH]	s l ah sh
SMACKING	[SMACKING]	s m ae k ix ng
SMALL	[SMALL]	s m ao l
SMALLER	[SMALLER]	s m ao l er
SMALLEST	[SMALLEST]	s m ao l ax s t
SMALLS	[SMALLS]	s m ao l z
SMART	[SMART]	s m aa r t
SMARTER	[SMARTER]	s m aa r dx er
SMARTIES	[SMARTIES]	s m aa r t iy z
SMASH	[SMASH]	s m ae sh
SMASHED	[SMASHED]	s m ae sh t
SMASHERATE	[SMASHERATE]	s m ae sh er ey t
SMELL	[SMELL]	s m eh l
SMELLED	[SMELLED]	s m eh l d
SMELLING	[SMELLING]	s m eh l ix ng
SMELLS	[SMELLS]	s m eh l z
SMELLY	[SMELLY]	s m eh l iy
SMILE	[SMILE]	s m ay l
SMILED	[SMILED]	s m ay l d
SMILES	[SMILES]	s m ay l z
SMILING	[SMILING]	s m ay l ix ng
SMILY	[SMILY]	s m ay l iy
SMILYFACE	[SMILYFACE]	s m ay l iy f ey s
SMITH	[SMITH]	s m ih th
SMOKE	[SMOKE]	s m ow k
SMOKED	[SMOKED]	s m ow k t
SMOKESTACK	[SMOKESTACK]	s m ow k s t ae k
SMOOSHY	[SMOOSHY]	s m uh sh iy
SMOOTH	[SMOOTH]	s m uw dh
SMOOTHS	[SMOOTHS]	s m uw dh z
SMUSH	[SMUSH]	s m ah sh
SMUSHED	[SMUSHED]	s m ah sh t
SMUSHING	[SMUSHING]	s m uh sh ix ng
SNACK	[SNACK]	s n ae k
SNACKING	[SNACKING]	s n ae k ix ng
SNACKS	[SNACKS]	s n ae k s
SNAIL	[SNAIL]	s n ey l
SNAILS	[SNAILS]	s n ey l z
SNAKE	[SNAKE]	s n ey k
SNAKE'S	[SNAKE'S]	s n ey k s
SNAKES	[SNAKES]	s n ey k s
SNAP	[SNAP]	s n ae p
SNAPE	[SNAPE]	s n ey p
SNAPPED	[SNAPPED]	s n ae p t
SNAPPERS	[SNAPPERS]	s n ae p er z
SNAPPING	[SNAPPING]	s n ae p ix ng
SNAPS	[SNAPS]	s n ae p s
SNARL	[SNARL]	s n aa r l
SNARLING	[SNARLING]	s n aa r l ix ng
SNARLS	[SNARLS]	s n aa r l z
SNAZZY	[SNAZZY]	s n ae z iy
SNEAK	[SNEAK]	s n iy k
SNEAKED	[SNEAKED]	s n iy k t
SNEAKER	[SNEAKER]	s n iy k er
SNEAKERS	[SNEAKERS]	s n iy k er z
SNEAKING	[SNEAKING]	s n iy k ix ng
SNEAKY	[SNEAKY]	s n iy k iy
SNEEZE	[SNEEZE]	s n iy z
SNEEZED	[SNEEZED]	s n iy z d
SNEEZES	[SNEEZES]	s n iy z ix z
SNEEZING	[SNEEZING]	s n iy z ix ng
SNEW	[SNEW]	s n uw
SNIFF	[SNIFF]	s n ih f
SNIP	[SNIP]	s n ih p
SNIPER	[SNIPER]	s n ay p er
SNIPPER	[SNIPPER]	s n ih p er
SNIPPIES	[SNIPPIES]	s n ih p iy z
SNIPPITYSNAP	[SNIPPITYSNAP]	s n ih p ax dx iy s n ae p
SNOO	[SNOO]	s n uw
SNOOBY	[SNOOBY]	s n uw b iy
SNOOBYLOO	[SNOOBYLOO]	s n uw b iy l uw
SNOODING	[SNOODING]	s n uw d ix ng
SNOOP	[SNOOP]	s n uw p
SNOOPY	[SNOOPY]	s n uw p iy
SNOOZE	[SNOOZE]	s n uw z
SNORE	[SNORE]	s n ao r
SNORES	[SNORES]	s n ao r z
SNORING	[SNORING]	s n ao r ix ng
SNORT	[SNORT]	s n ao r t
SNORTED	[SNORTED]	s n ao r dx ix d
SNORTING	[SNORTING]	s n ao r dx ix ng
SNOW	[SNOW]	s n ow
SNOWBALL	[SNOWBALL]	s n ow b ao l
SNOWBALLS	[SNOWBALLS]	s n ow b ao l z
SNOWBANK	[SNOWBANK]	s n ow b ae ng k
SNOWBEAR	[SNOWBEAR]	s n ow b eh r
SNOWBOOTS	[SNOWBOOTS]	s n ow b uw t s
SNOWCOVERED	[SNOWCOVERED]	s n ow k ah v er d
SNOWED	[SNOWED]	s n ow d
SNOWFLAKE	[SNOWFLAKE]	s n ow f l ey k
SNOWFLAKES	[SNOWFLAKES]	s n ow f l ey k s
SNOWING	[SNOWING]	s n ow ix ng
SNOWMAN	[SNOWMAN]	s n ow m ae n
SNOWMAN'S	[SNOWMAN'S]	s n ow m ae n z
SNOWMEN	[SNOWMEN]	s n ow m eh n
SNOWMONKEY	[SNOWMONKEY]	s n ow m ah ng k iy
SNOWMONKEYS	[SNOWMONKEYS]	s n ow m ah ng k iy z
SNOWSHOEING	[SNOWSHOEING]	s n ow sh uw ih ng
SNOWSUIT	[SNOWSUIT]	s n ow s uw t
SNOWSUITS	[SNOWSUITS]	s n ow s uw t s
SNOWY	[SNOWY]	s n ow iy
SNUFF	[SNUFF]	s n ah f
SNUFFER	[SNUFFER]	s n ah f er
SNUFFLE	[SNUFFLE]	s n ah f ax l
SNUFFLES	[SNUFFLES]	s n ah f ax l s
SNUFFLES'	[SNUFFLES']	s n ah f ax l z
SNUG	[SNUG]	s n ah g
SNUGGLE	[SNUGGLE]	s n ah g ax l
SNUGGLED	[SNUGGLED]	s n ah g ax l d
SNUGGLING	[SNUGGLING]	s n ah g ax l ix ng
SNUGGLY	[SNUGGLY]	s n ah g ax l iy
SO	[SO]	s ow
SOAK	[SOAK]	s ow k
SOAKED	[SOAKED]	s ow k t
SOAKING	[SOAKING]	s ow k ix ng
SOAP	[SOAP]	s ow p
SOAPY	[SOAPY]	s ow p iy
SOCCER	[SOCCER]	s aa k er
SOCIAL	[SOCIAL]	s ow sh ax l
SOCK	[SOCK]	s aa k
SOCKET	[SOCKET]	s aa k ax t
SOCKIES	[SOCKIES]	s aa k iy z
SOCKS	[SOCKS]	s aa k s
SOCKY	[SOCKY]	s aa k iy
SODA	[SODA]	s ow dx ax
SODAS	[SODAS]	s ow dx ax z
SOFA	[SOFA]	s ow f ax
SOFAS	[SOFAS]	s ow f ax z
SOFT	[SOFT]	s aa f t
SOFTER	[SOFTER]	s aa f t er
SOFTLY	[SOFTLY]	s ao f t l iy
SOFTWARE	[SOFTWARE]	s ao f t w eh r
SOGGIEST	[SOGGIEST]	s ao g iy eh s t
SOGGY	[SOGGY]	s aa g iy
SOLDIER	[SOLDIER]	s ow l jh er
SOLEMNLY	[SOLEMNLY]	s ao l ax m l iy
SOLES	[SOLES]	s ow l z
SOLUTION	[SOLUTION]	s ax l uw sh ax n
SOLVE	[SOLVE]	s aa l v
SOLVED	[SOLVED]	s aa l v d
SOME	[SOME]	s ah m
SOMEBODY	[SOMEBODY]	s ah m b aa dx iy
SOMEBODY'S	[SOMEBODY'S]	s ah m b aa dx iy
SOMEDAY	[SOMEDAY]	s ah m d ey
SOMEHOW	[SOMEHOW]	s ah m hh aw
SOMEONE	[SOMEONE]	s ah m w ah n
SOMEONE'S	[SOMEONE'S]	s ah m w ah n z
SOMEPLACE	[SOMEPLACE]	s ah m p l ey s
SOMERSAULT	[SOMERSAULT]	s ah m er s ao l t
SOMERSAULTS	[SOMERSAULTS]	s ah m er s ao l t s
SOMETHING	[SOMETHING]	s ah m th ix ng
SOMETHING'S	[SOMETHING'S]	s ah m th ix ng z
SOMETHINGS	[SOMETHINGS]	s ah m th ih ng z
SOMETIME	[SOMETIME]	s ah m t ay m
SOMETIMES	[SOMETIMES]	s ax m t ay m z
SOMEWHAT	[SOMEWHAT]	s ah m w ah t
SOMEWHERE	[SOMEWHERE]	s ah m w eh r
SON	[SON]	s ah n
SONG	[SONG]	s ao ng
SONG'S	[SONG'S]	s ao ng z
SONGS	[SONGS]	s ao ng z
SOO	[SOO]	s uw
SOON	[SOON]	s uw n
SOPHIE	[SOPHIE]	s ow f iy
SOPHIE'S	[SOPHIE'S]	s ow f iy z
SOPHISTICATED	[SOPHISTICATED]	s ax f ih s t ax k ey dx ix d
SORE	[SORE]	s ao r
SORRIEST	[SORRIEST]	s aa r iy eh s t
SORRY	[SORRY]	s aa r iy
SORT	[SORT]	s ao r t
SORTING	[SORTING]	s ao r dx ix ng
SORTS	[SORTS]	s ao r t s
SOUL	[SOUL]	s ow l
SOUND	[SOUND]	s aw n d
SOUNDED	[SOUNDED]	s aw n d ax d
SOUNDING	[SOUNDING]	s aw n d ix ng
SOUNDS	[SOUNDS]	s aw n d z
SOUNDTRACK	[SOUNDTRACK]	s aw n d t r ae k
SOUP	[SOUP]	s uw p
SOUPS	[SOUPS]	s uw p s
SOUPY	[SOUPY]	s uw p iy
SOUP_A	[SOUP_A]	s uw p iy
SOUR	[SOUR]	s aw er
SOUTH	[SOUTH]	s aw th
SOUTHBOUND	[SOUTHBOUND]	s aw th b aw n d
SOVEREIGN	[SOVEREIGN]	s aa v r ax n
SOY	[SOY]	s oy
SOYBEAN	[SOYBEAN]	s oy b iy n
SOYBEANS	[SOYBEANS]	s oy b iy n z
SOYMILK	[SOYMILK]	s oy m ih l k
SPACE	[SPACE]	s p ey s
SPACEMEN	[SPACEMEN]	s p ey s m eh n
SPACESHIP	[SPACESHIP]	s p ey s sh ih p
SPAGHETTI	[SPAGHETTI]	s p ax g eh dx iy
SPAGHETTIOHS	[SPAGHETTIOHS]	s p ax g eh dx iy ow z
SPAGHETTIS	[SPAGHETTIS]	s p ax g eh dx iy z
SPAGHETTI_A	[SPAGHETTI_A]	s p ax g eh t iy
SPANIEL	[SPANIEL]	s p ae n y ax l
SPANISH	[SPANISH]	s p ae n ix sh
SPANK	[SPANK]	s p ae ng k
SPANKING	[SPANKING]	s p ae ng k ix ng
SPANKINGS	[SPANKINGS]	s p ae ng k ix ng z
SPARKLE	[SPARKLE]	s p aa r k ax l
SPARKLY	[SPARKLY]	s p aa r k l iy
SPARROW	[SPARROW]	s p eh r ow
SPARROWS	[SPARROWS]	s p eh r ow z
SPATTLE	[SPATTLE]	s p ae dx ax l
SPATULA	[SPATULA]	s p ae ch uh l ax
SPEAK	[SPEAK]	s p iy k
SPEAKER	[SPEAKER]	s p iy k er
SPEAKERPHONE	[SPEAKERPHONE]	s p iy k er f ow n
SPEAKING	[SPEAKING]	s p iy k ix ng
SPEARS	[SPEARS]	s p ih r z
SPEC	[SPEC]	s p eh k
SPECIAL	[SPECIAL]	s p eh sh ax l
SPECIALLY	[SPECIALLY]	s p eh sh ax l iy
SPECIFIC	[SPECIFIC]	s p ax s ih f ix k
SPECIFICALLY	[SPECIFICALLY]	s p ax s ih f ix k l iy
SPEED	[SPEED]	s p iy d
SPEEDING	[SPEEDING]	s p iy dx ix ng
SPEEDY	[SPEEDY]	s p iy dx iy
SPELL	[SPELL]	s p eh l
SPELLED	[SPELLED]	s p eh l d
SPELLING	[SPELLING]	s p eh l ix ng
SPELLS	[SPELLS]	s p eh l z
SPEND	[SPEND]	s p eh n d
SPENDING	[SPENDING]	s p eh n d ix ng
SPENDS	[SPENDS]	s p eh n d z
SPENT	[SPENT]	s p eh n t
SPICY	[SPICY]	s p ay s iy
SPIDER	[SPIDER]	s p ay dx er
SPIDER'S	[SPIDER'S]	s p ay dx er z
SPIDERMAN	[SPIDERMAN]	s p ay dx er m ae n
SPIDERS	[SPIDERS]	s p ay dx er z
SPIDERSAURUS	[SPIDERSAURUS]	s p ay d er s ao r ax s
SPIDERSAURUS_A	[SPIDERSAURUS_A]	s p ay d iy s ao r ax s
SPIDERWITCH	[SPIDERWITCH]	s p ay dx er w ih ch
SPIDER_A	[SPIDER_A]	s p ay d ax
SPIKY	[SPIKY]	s p ay k iy
SPILL	[SPILL]	s p ih l
SPILLED	[SPILLED]	s p ih l d
SPILLING	[SPILLING]	s p ih l ix ng
SPILLS	[SPILLS]	s p ih l z
SPIN	[SPIN]	s p ih n
SPINACH	[SPINACH]	s p ih n ax ch
SPINACH_A	[SPINACH_A]	s p iy n iy jh ax
SPINNING	[SPINNING]	s p ih n ix ng
SPINOSAURUS	[SPINOSAURUS]	s p ay n ax s ao r ax s
SPIRAL	[SPIRAL]	s p ay r ax l
SPIRALLY	[SPIRALLY]	s p ay r ax l iy
SPIRALS	[SPIRALS]	s p ay r ax l z
SPIT	[SPIT]	s p ih t
SPITS	[SPITS]	s p ih t s
SPITTING	[SPITTING]	s p ih dx ix ng
SPITTLE	[SPITTLE]	s p ih dx ax l
SPLASH	[SPLASH]	s p l ae sh
SPLASHING	[SPLASHING]	s p l ae sh ix ng
SPLASHY	[SPLASHY]	s p l ae sh iy
SPLAT	[SPLAT]	s p l ae t
SPLENDID	[SPLENDID]	s p l eh n d ax d
SPLISHY	[SPLISHY]	s p l ih sh iy
SPLITTER	[SPLITTER]	s p l ih t er
SPLOSHY	[SPLOSHY]	s p l aa sh iy
SPLUSHY	[SPLUSHY]	s p l ah sh iy
SPOKE	[SPOKE]	s p ow k
SPONGE	[SPONGE]	s p ah n jh
SPONGES	[SPONGES]	s p ah n jh ax z
SPOOK	[SPOOK]	s p uw k
SPOON	[SPOON]	s p uw n
SPOONFUL	[SPOONFUL]	s p uw n f uh l
SPOONFULS	[SPOONFULS]	s p uw n f uh l z
SPOONS	[SPOONS]	s p uw n z
SPORT	[SPORT]	s p ao r t
SPOT	[SPOT]	s p aa t
SPOT'S	[SPOT'S]	s p aa t s
SPOTS	[SPOTS]	s p aa t s
SPOTTED	[SPOTTED]	s p aa dx ax d
SPOTTIEST	[SPOTTIEST]	s p aa t iy eh s t
SPOUT	[SPOUT]	s p aw t
SPRAY	[SPRAY]	s p r ey
SPRAYED	[SPRAYED]	s p r ey d
SPRAYER	[SPRAYER]	s p r ey er
SPRAYING	[SPRAYING]	s p r ey ix ng
SPREAD	[SPREAD]	s p r eh d
SPREADING	[SPREADING]	s p r eh dx ix ng
SPRING	[SPRING]	s p r ih ng
SPRINGSTEEN	[SPRINGSTEEN]	s p r ih ng s t iy n
SPRINKLE	[SPRINKLE]	s p r ih ng k ax l
SPRINKLER	[SPRINKLER]	s p r ih ng k l er
SPRINKLES	[SPRINKLES]	s p r ih ng k ax l z
SPRINKLING	[SPRINKLING]	s p r ih ng k l ix ng
SPROUTS	[SPROUTS]	s p r aw t s
SPUNA	[SPUNA]	s p uw n ax
SPURT	[SPURT]	s p er t
SPUTTERED	[SPUTTERED]	s p ah dx er d
SPY	[SPY]	s p ay
SQUARE	[SQUARE]	s k w eh r
SQUARED	[SQUARED]	s k w eh r d
SQUARES	[SQUARES]	s k w eh r z
SQUASH	[SQUASH]	s k w aa sh
SQUASHED	[SQUASHED]	s k w aa sh t
SQUASHING	[SQUASHING]	s k w aa sh ix ng
SQUAWK	[SQUAWK]	s k w ao k
SQUEAK	[SQUEAK]	s k w iy k
SQUEAKS	[SQUEAKS]	s k w iy k s
SQUEAKY	[SQUEAKY]	s k w iy k iy
SQUEAL	[SQUEAL]	s k w iy l
SQUEEZE	[SQUEEZE]	s k w iy z
SQUEEZED	[SQUEEZED]	s k w iy z d
SQUEEZES	[SQUEEZES]	s k w iy z ix z
SQUEEZING	[SQUEEZING]	s k w iy z ix ng
SQUID	[SQUID]	s k w ih d
SQUIGGLY	[SQUIGGLY]	s k w ih g ax l iy
SQUIGGLYWORM	[SQUIGGLYWORM]	s k w ih g ax l iy w er m
SQUIRMING	[SQUIRMING]	s k w er m ix ng
SQUIRMY	[SQUIRMY]	s k w er m iy
SQUIRREL	[SQUIRREL]	s k w er ax l
SQUIRREL'S	[SQUIRREL'S]	s k w er ax l z
SQUIRRELS	[SQUIRRELS]	s k w er ax l z
SQUIRT	[SQUIRT]	s k w er t
SQUIRTERS	[SQUIRTERS]	s k w er t er z
SQUIRTS	[SQUIRTS]	s k w er t s
SQUISH	[SQUISH]	s k w ih sh
SQUISHED	[SQUISHED]	s k w ih sh d
SQUISHING	[SQUISHING]	s k w ih sh ix ng
SQUISHY	[SQUISHY]	s k w ih sh iy
SQUOOSHING	[SQUOOSHING]	s k w uw sh ix ng
SQWAK	[SQWAK]	s k w aa k
ST	[ST]	eh s t iy
STAB	[STAB]	s t ae b
STABILIZE	[STABILIZE]	s t ey b ax l ay z
STABLE	[STABLE]	s t ey b ax l
STACK	[STACK]	s t ae k
STACKING	[STACKING]	s t ae k ix ng
STACY	[STACY]	s t ey s iy
STAGE	[STAGE]	s t ey jh
STAI	[STAI]	s t ay
STAIR	[STAIR]	s t eh r
STAIRS	[STAIRS]	s t eh r z
STALE	[STALE]	s t ey l
STAMP	[STAMP]	s t ae m p
STAMPED	[STAMPED]	s t ae m p t
STAMPING	[STAMPING]	s t ae m p ix ng
STAMPS	[STAMPS]	s t ae m p s
STANCE	[STANCE]	s t ae n s
STAND	[STAND]	s t ae n d
STANDARD	[STANDARD]	s t ae n d er d
STANDING	[STANDING]	s t ae n d ix ng
STANDS	[STANDS]	s t ae n d z
STAPLE	[STAPLE]	s t ey p ax l
STAPLES	[STAPLES]	s t ey p ax l z
STAR	[STAR]	s t aa r
STARBUCKS	[STARBUCKS]	s t aa r b ah k s
STARDUST	[STARDUST]	s t aa r d ah s t
STARE	[STARE]	s t eh r
STARED	[STARED]	s t eh r d
STARES	[STARES]	s t eh r z
STARFISH	[STARFISH]	s t aa r f ih sh
STARING	[STARING]	s t eh r ix ng
STARRY	[STARRY]	s t aa r iy
STARS	[STARS]	s t aa r z
START	[START]	s t aa r t
STARTED	[STARTED]	s t aa r dx ax d
STARTING	[STARTING]	s t aa r dx ix ng
STARTLED	[STARTLED]	s t aa r dx ax l d
STARTLING	[STARTLING]	s t aa r t l ix ng
STARTS	[STARTS]	s t aa r t s
STARVING	[STARVING]	s t aa r v ix ng
STATEMENT	[STATEMENT]	s t ey t m ax n t
STATION	[STATION]	s t ey sh ax n
STATIONS	[STATIONS]	s t ey sh ax n z
STATISTICS	[STATISTICS]	s t ax t ih s t ix k s
STATUE	[STATUE]	s t ae ch uw
STATUES	[STATUES]	s t ae ch uw z
STAY	[STAY]	s t ey
STAYED	[STAYED]	s t ey d
STAYING	[STAYING]	s t ey ix ng
STAYS	[STAYS]	s t ey z
STEADY	[STEADY]	s t eh dx iy
STEAK	[STEAK]	s t ey k
STEAL	[STEAL]	s t iy l
STEALING	[STEALING]	s t iy l ix ng
STEAM	[STEAM]	s t iy m
STEAMED	[STEAMED]	s t iy m d
STEAMING	[STEAMING]	s t iy m ix ng
STEAMY	[STEAMY]	s t iy m iy
STEEL	[STEEL]	s t iy l
STEELERS	[STEELERS]	s t iy l er z
STEEP	[STEEP]	s t iy p
STEERING	[STEERING]	s t ih r ix ng
STEERS	[STEERS]	s t ih r z
STEGOSAURUS	[STEGOSAURUS]	s t eh g ax s ao r ax s
STELLA	[STELLA]	s t eh l ax
STEM	[STEM]	s t eh m
STENCIL	[STENCIL]	s t eh n s ix l
STEP	[STEP]	s t eh p
STEPBROTHER	[STEPBROTHER]	s t eh p b r ah dh er
STEPPED	[STEPPED]	s t eh p t
STEPPING	[STEPPING]	s t eh p ix ng
STEPS	[STEPS]	s t eh p s
STEPSISTER	[STEPSISTER]	s t eh p s ih s t er
STEPSTOOL	[STEPSTOOL]	s t eh p s t uw l
STEREO	[STEREO]	s t eh r iy ow
STETHOSCOPE	[STETHOSCOPE]	s t eh th ax s k ow p
STETHOSCOPES	[STETHOSCOPES]	s t eh th ax s k ow p s
STEVE	[STEVE]	s t iy v
STEVE'S	[STEVE'S]	s t iy v z
STEVEN	[STEVEN]	s t iy v ax n
STEW	[STEW]	s t uw
STICK	[STICK]	s t ih k
